SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Scientific,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
65,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus tao,Grey Tinamou,10,0,0,0,0,0,40,0,30,20,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,16001,Dunning08,1,,
66,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus solitarius,Solitary Tinamou,20,0,0,0,0,0,40,0,20,20,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,138641,Dunning08,1,,
67,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus osgoodi,Black Tinamou,0,0,0,0,0,0,50,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,1285,Dunning08,1,,
68,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus major,Great Tinamou,20,0,10,0,0,0,40,0,30,0,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,102621,Dunning08,1,,
69,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus guttatus,White-throated Tinamou,20,0,0,0,20,0,60,0,0,0,FruiNect,Ref_1,B,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,68618,Dunning08,1,,
70,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothocercus bonapartei,Highland Tinamou,30,0,0,0,20,0,50,0,0,0,Omnivore,Ref_1,B,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,763,Dunning08,1,,
71,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothocercus julius,Tawny-breasted Tinamou,30,0,0,0,20,0,30,0,20,0,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,6745,GenAvg,0,,
72,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothocercus nigrocapillus,Hooded Tinamou,0,0,0,0,0,0,0,0,100,0,PlantSeed,Ref_1,B,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,586,PrimScale,1,MarceloR,
73,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus berlepschi,Berlepsch's Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,51683,Dunning08,1,,
74,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus cinereus,Cinereous Tinamou,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,50663,Dunning08,1,,
75,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus soui,Little Tinamou,20,0,0,0,0,0,40,0,20,20,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,21616,Dunning08,1,,
76,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus ptaritepui,Tepui Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,41151,GenAvg,0,,
77,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus obsoletus,Brown Tinamou,50,0,0,0,0,0,0,0,50,0,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,4434,Dunning08,1,,
78,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus cinnamomeus,Thicket Tinamou,30,0,10,0,0,0,30,0,30,0,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,422,Dunning08,1,,
80,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus undulatus,Undulated Tinamou,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,56442,Dunning08,1,,
81,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus transfasciatus,Pale-browed Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,283,Dunning08,1,,
82,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus strigulosus,Brazilian Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,43058,Dunning08,1,,
83,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus boucardi,Slaty-breasted Tinamou,20,0,0,0,0,0,40,0,40,0,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,43562,Dunning08,1,,
84,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus kerriae,Choco Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,41151,GenAvg,0,,
85,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus erythropus,Red-legged Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,485,Dunning08,1,,
87,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus duidae,Grey-legged Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,426,Dunning08,1,,
88,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus noctivagus,Yellow-legged Tinamou,30,0,0,0,0,0,0,0,30,40,PlantSeed,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,56199,Dunning08,1,,
89,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus atrocapillus,Black-capped Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,453,Dunning08,1,,
90,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus variegatus,Variegated Tinamou,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,378,Dunning08,1,,
91,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus brevirostris,Rusty Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,41151,GenAvg,0,,
92,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus bartletti,Bartlett's Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,241,Dunning08,1,,
93,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus parvirostris,Small-billed Tinamou,40,0,0,0,0,0,0,0,60,0,PlantSeed,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,19899,Dunning08,1,,
94,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus casiquiare,Barred Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,41151,GenAvg,0,,
95,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus tataupa,Tataupa Tinamou,50,0,0,0,0,0,0,0,30,20,Omnivore,Ref_1,A,Jennifer,0,0,50,50,0,0,0,0,Ref_1,1,Jessica,0,2188,Dunning08,1,,
96,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Rhynchotus rufescens,Red-winged Tinamou,40,0,0,0,10,0,0,0,30,20,Omnivore,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Other,0,84347,Dunning08,1,,
98,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta taczanowskii,Taczanowski's Tinamou,40,0,0,0,0,0,10,0,20,30,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,47531,GenAvg,0,,
100,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta ornata,Ornate Tinamou,20,0,0,0,0,0,10,0,20,50,PlantSeed,Ref_1,A,Jennifer,0,0,60,40,0,0,0,0,Ref_1,1,Jessica,0,61927,Dunning08,1,,
101,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta pentlandii,Andean Tinamou,20,0,0,0,0,0,10,0,20,50,PlantSeed,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,30073,Dunning08,1,,
102,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta cinerascens,Brushland Tinamou,60,0,0,0,0,0,20,0,20,0,Invertebrate,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Jessica,0,52389,Dunning08,1,,
103,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta perdicaria,Chilean Tinamou,40,0,0,0,0,0,10,0,20,30,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,458,Dunning08,1,,
104,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta curvirostris,Curve-billed Tinamou,40,0,0,0,0,0,10,0,20,30,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,376,Dunning08,1,,
105,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura darwinii,Darwin's Nothura,50,0,0,0,0,0,0,0,40,10,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,24458,Dunning08,1,,
106,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura chacoensis,Chaco Nothura,40,0,0,0,0,0,20,0,40,0,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,22608,GenAvg,0,,
107,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura maculosa,Spotted Nothura,40,0,0,0,0,0,30,0,30,0,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,25748,Dunning08,1,,
108,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura minor,Lesser Nothura,40,0,0,0,0,0,20,0,40,0,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,1658,Dunning08,1,,
109,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura boraquira,White-bellied Nothura,40,0,0,0,0,0,20,0,40,0,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,283,Dunning08,1,,
110,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Taoniscus nanus,Dwarf Tinamou,50,0,0,0,0,0,0,0,50,0,Omnivore,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Jessica,0,43,Dunning08,1,,
111,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Eudromia elegans,Elegant Crested-tinamou,30,0,0,0,0,0,0,0,40,30,PlantSeed,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Other,0,7029,Dunning08,1,,
112,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Eudromia formosa,Quebracho Crested-tinamou,30,0,0,0,0,0,0,0,40,30,PlantSeed,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,77293,PrimScale,1,MarceloR,
113,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamotis pentlandii,Puna Tinamou,0,0,0,0,0,0,0,0,40,60,PlantSeed,Ref_1,B,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,650,Dunning08,1,,
114,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamotis ingoufi,Patagonian Tinamou,0,0,0,0,0,0,0,0,40,60,PlantSeed,Ref_1,D1,Jennifer,0,0,60,40,0,0,0,0,Ref_1,1,Jessica,0,730,PrimScale,1,MarceloR,
137,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis vetula,Plain Chachalaca,0,0,0,0,0,0,60,0,0,40,FruiNect,Ref_2,A,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,5626,Dunning08,1,,
138,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis cinereiceps,Grey-headed Chachalaca,0,0,0,0,0,0,80,0,0,20,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,493,Dunning08,1,,
139,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis garrula,Chestnut-winged Chachalaca,0,0,0,0,0,0,60,0,0,40,FruiNect,Ref_2,D1,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,532,Dunning08,1,,
140,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis ruficauda,Rufous-vented Chachalaca,0,0,0,0,0,0,60,0,0,40,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,58624,Dunning08,1,,
142,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis erythroptera,Rufous-headed Chachalaca,0,0,0,0,0,0,50,0,0,50,Omnivore,Ref_2,C,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,632,Dunning08,1,,
143,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis wagleri,Rufous-bellied Chachalaca,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,83399,Dunning08,1,,
144,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis poliocephala,West Mexican Chachalaca,0,0,0,0,0,0,30,0,30,40,PlantSeed,Ref_2,A,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,760,Dunning08,1,,
145,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis canicollis,Chaco Chachalaca,20,0,0,0,0,0,30,0,10,40,Omnivore,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,539,Dunning08,1,,
146,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis leucogastra,White-bellied Chachalaca,10,0,0,0,0,0,70,0,0,20,FruiNect,Ref_2,A,Jennifer,0,0,10,10,80,0,0,0,Ref_2,1,Other,0,49582,Dunning08,1,,
147,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis guttata,Speckled Chachalaca,0,0,0,0,0,0,90,0,10,0,FruiNect,Ref_2,B,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,54772,Dunning08,1,,
148,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis motmot,Little Chachalaca,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,33,0,33,33,0,0,Ref_2,1,Jessica,0,520,Dunning08,1,,
149,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis superciliaris,Buff-browed Chachalaca,0,0,0,0,0,0,60,0,0,40,FruiNect,Ref_2,D1,Jennifer,0,0,20,0,40,40,0,0,Genus,0,Walter,0,5786,GenAvg,0,,
150,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope argyrotis,Band-tailed Guan,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,80671,Dunning08,1,,
151,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope barbata,Bearded Guan,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,33,0,33,33,0,0,Ref_2,1,Jessica,0,117966,GenAvg,0,,
152,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope ortoni,Baudo Guan,0,0,0,0,0,0,80,0,0,20,FruiNect,Ref_2,D1,Jennifer,0,0,20,0,50,30,0,0,Genus,0,Walter,0,117966,GenAvg,0,,
153,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope montagnii,Andean Guan,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,0,0,100,0,0,0,Ref_2,1,Jessica,0,706,Dunning08,1,,
154,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope marail,Marail Guan,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,87967,Dunning08,1,,
155,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope superciliaris,Rusty-margined Guan,10,0,0,0,0,0,90,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,33,0,33,33,0,0,Ref_2,1,Jessica,0,89499,Dunning08,1,,
156,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope dabbenei,Red-faced Guan,0,0,0,0,0,0,80,0,0,20,FruiNect,Ref_2,D1,Jennifer,0,0,0,0,70,30,0,0,Ref_2,1,Jessica,0,1230,Dunning08,1,,
157,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope purpurascens,Crested Guan,10,0,0,0,0,0,70,0,0,20,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,2060,Dunning08,1,,
158,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope perspicax,Cauca Guan,0,0,0,0,0,0,80,0,0,20,FruiNect,Ref_2,D1,Jennifer,0,0,0,0,80,20,0,0,Ref_2,1,Jessica,0,117966,GenAvg,0,,
159,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope albipennis,White-winged Guan,0,0,0,0,0,0,50,0,0,50,Omnivore,Ref_2,A,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,1750,Dunning08,1,,
160,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope jacquacu,Spix's Guan,0,0,0,0,0,0,80,0,20,0,FruiNect,Ref_2,A,Jennifer,0,0,0,0,60,40,0,0,Ref_2,1,Other,0,14879,Dunning08,1,,
161,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope obscura,Dusky-legged Guan,0,0,0,0,0,0,80,0,0,20,FruiNect,Ref_2,D1,Jennifer,0,0,30,30,30,10,0,0,Ref_2,1,Other,0,1770,Dunning08,1,,
162,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope pileata,White-crested Guan,0,0,0,0,0,0,80,0,0,20,FruiNect,Ref_2,D1,Jennifer,0,0,20,0,50,30,0,0,Genus,0,Walter,0,124979,Dunning08,1,,
163,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope ochrogaster,Chestnut-bellied Guan,0,0,0,0,0,0,70,0,0,30,FruiNect,Ref_2,C,Jennifer,0,0,20,0,50,30,0,0,Genus,0,Walter,0,117966,GenAvg,0,,
164,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope jacucaca,White-browed Guan,0,0,0,0,0,0,80,0,0,20,FruiNect,Ref_2,D1,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,1282,PrimScale,1,,
165,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Pipile pipile,Trinidad Piping-guan,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,181659,Dunning08,1,,
166,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Pipile cumanensis,Blue-throated Piping-guan,10,0,0,0,0,0,80,0,0,10,FruiNect,Ref_2,A,Jennifer,0,0,0,0,30,70,0,0,Ref_2,1,Other,0,123922,Dunning08,1,,
167,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Pipile cujubi,Red-throated Piping-guan,10,0,0,0,0,0,60,0,20,10,FruiNect,Ref_2,D1,Jennifer,0,0,20,0,40,40,0,0,Genus,0,Walter,0,119582,Dunning08,1,,
168,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Pipile jacutinga,Black-fronted Piping-guan,10,0,0,0,0,0,70,0,10,10,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,124096,Dunning08,1,,
169,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Aburria aburri,Wattled Guan,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,0,0,100,0,0,0,Ref_2,1,Jessica,0,140508,Dunning08,1,,
170,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Chamaepetes unicolor,Black Guan,0,0,0,0,0,0,80,0,0,20,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,1135,Dunning08,1,,
171,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Chamaepetes goudotii,Sickle-winged Guan,0,0,0,0,0,0,80,0,10,10,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,72767,Dunning08,1,,
172,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelopina nigra,Highland Guan,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,B,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,88999,Dunning08,1,,
173,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Oreophasis derbianus,Horned Guan,0,0,0,0,0,0,50,0,0,50,Omnivore,Ref_2,A,Jennifer,0,0,20,0,80,0,0,0,Ref_2,1,Other,0,207154,Dunning08,1,,
174,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Nothocrax urumutum,Nocturnal Curassow,0,0,0,0,0,0,70,0,10,20,FruiNect,Ref_2,D2,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,1700,Dunning08,1,,
